Episode,Reward,Length
1240,-2210.2732,30
1241,-2453.479,39
1242,-1103.4619,17
1243,-990.1669,28
1244,-16661.455,500
1245,-1533.0435,24
1246,-2420.9758,52
1247,-518.7197,10
1248,-11695.931,193
1249,-909.5635,20
1250,-1721.042,34
1251,-1475.0547,24
1252,-710.00995,13
1253,-1936.2932,28
1254,-865.98,17
1255,-5278.8887,94
1256,-925.81537,17
1257,-682.76483,13
1258,-1310.927,26
1259,-705.7865,13
1260,-1595.5013,29
1261,-1665.5408,32
1262,-14992.519,251
1263,-1996.8556,36
1264,-512.64075,10
1265,-30600.54,500
1266,-938.0833,22
1267,-4860.894,68
1268,-1961.6779,27
1269,-1897.7505,27
1270,-1953.6395,39
1271,-2460.3816,40
1272,-1203.2338,20
1273,-7062.312,114
1274,-1147.4589,23
1275,-2450.1062,58
1276,-2030.7854,32
1277,-1358.3579,22
1278,-26474.494,500
1279,-1600.9218,22
1280,-812.8673,21
1281,-1510.0377,31
1282,-1615.9336,31
1283,-2290.743,38
1284,-28895.258,500
1285,-1462.3196,39
1286,-5256.3555,112
1287,-2150.1316,33
1288,-1066.0378,18
1289,-1108.2683,22
1290,-1877.3401,35
1291,-14400.247,251
1292,-23295.557,500
